,text,words_with_errors,sentence_with_errors
547,ماعندهومش,موعندهامش,ماعندهومش
548,شغل البلطجه قطع الطريق الصراخ الارهاب ده مرفوض,شلغ اللطجه قعط الطريئق الصرائخ الارهائب د مرئفوض,شغل البلطجه قطع ائلطريق الصراخ الارهاب ده مروفض
549,هم ناس فاهمين اتلسعوا قبل كده مش مستعدين يسمحوا بالفوضه,هئم نائس فاهين اتسعوا قئبل كدئه مئش مستعئدين يسمحئوا بالفوض,مه نس فاهمين اتلسعوا قبل كده م مستعدين يسمحوا بالفوضه
550,هذه بلطجه,ذهه بلطه,هذه بلطجه
551,ولا الناس دي وجاهه وبيزنس السفاره الامريكيه لو في قطه امريكاني حصل لها حاجه مابتسكتشس,ول الئناس يد وجاهه وبينس السفاهر الائمريكيه لئو يف هطق امريكاين صحل لاه حاج مابسكتشس,لوا انلاس دي جواهه وبيزنس السفاره الامريكيه لو في قطه امريكاني حصل لها حاجه مابتسكتشس
552,التغيير ياتي من مصر مش من بره مصر,التغير يايت م مصئر مئش م به مر,الئتغيير ياتي من رصم مش من هرب مصر
553,قطر هتموت وتعمل حاجه ضد مصر تحرض المصريين ضد ريسهم بلدهم ومش بعيد علي دوله تحوي اكبر تجمع للامريكان الصهاينه ان تعادي مصر جاري اعتقال باقي الخليه الارهابيه الميده للمدعو براقعي,قط هموت وتمل حجه ض صمر تحرئض امصريين دض هيسرم بئلدهم وشم دعيب عئلي دلوه توي ائكبر تجعم للامرئيكان ائلصهاينه ا تعادئي مر جري اعتقال ياقب الخلي ارالهابيه لاميده للمدع برائقعي,قطر هتمت وتعمئل حاجه ضد مصر تحرض المصريين ضد ريسهم بلدهم ومش بعد علي دلوه تحوي اكبر تجمع للامريكان الصهاينه ان تعادي مصر جاري اعتاقل باقي الخليه الايهابره الميده للمدعو براقعي
554,مش عايزين حد يحكمنا بجد يحطهم في موقفهم الحقيقي يعرف العالم كلهم انهم اللي باعوا العوبه,مئش عانزيي حئد يحئكمنا بئجد يحطه فئي موقفمه اليقحقي فعري الالم كلم انمه لالي بعوا العئوبه,م عايزين حد يحكمنا بجد محطهي في موقئفهم الحقيقي عيرف العالم كلئهم انهم اللي باعوا العوبه
555,هيفضحهم,هفضحهم,هيفضحهم
556,ضح خيانتهم لشعوبهم زي ما عمل فيهم ريس تركيا قالها بصراحه انتم قليل ما تجتمعون عندما تجتمعون لا تتفقون,ض خيانته لشعوئبهم زئي ام عئمل فيم ريئس تريكا قهلاا بصرئاحه منتا لقيل ام تجتمعون عندا تجتمعن ل قتفتون,ضح خيانتهم لشعوبهم زي ما عمل فيهم ري تركيا قالها بصراحه انمت قليل ما تتمعون عندم تجتمعون لا تتفقون
557,اصبح الحال يصعب علي بوش اصبح مستوي التعليم صفر الصحه صفر الفقر انتشر قله تحولت الي دينصورات تاكل الاخضر واليابس اصبح عز وامثاله يتحكمون في ال مليون مصري والله حرام لابد من التغير ومحاسبه من وصل البلد الي هذه الحاله من الفوضي والتدني الصحي والاخلاقي والتعليمي ووصل الناس الي القبور قبل ميعادهم والله حرام حرام فين الرجاله خلصت معتش نخوه ولا دم بيجري في,اصبئح الحا يصع عئلي بو بصاح مستي التعيم صف حلصاه صر رلفقا انترش قلئه تولت لاي دينصورئات تال الاخئضر االيوبس اصح ع ولمثااه تيحكمون يف ا مليو صمري واللئه حام لباد مئن التير ومحائسبه مئن وئصل الئبلد ائلي هذئه الحئاله نم افوضي واتدني الصئحي االوخلاقي والتليمي ووص ائلناس يلا البقور قب ميعادهئم لاوله حام حئرام فيئن الجاله لخصت شعتم نخهو وا د يبجري فئي,اصبح الحال يصعب علي بوش اصبح مستوي التعليم صفر الصحه فصر الفقر انتشر قله تحولت الي دينصورات تاكل الاخضر واليابس اصبح عئز وامثاله يتحكمون في ا مليون مصري وئالله حرام لابد من التغير ومحاسبه من وصل البلد الي هذه الحاله من الفوضي والتدني الصيح والاخلاقي والتعليمي ووصل النئاس الي القبور قبل ميعادهم والله حام حرام فين الرجاله خلصت متعش نخوه ولئا دم بيجري في
558,ديه احد الاسباب ان مش الشباب المصري بس بييايدوا البرادعي معاهم كمان نسبه كبيره من الشباب العربي الواعي الشباب ده عارف ان لما مصر تقوم بقياده البرادعي كل الدول العربيه هتقوم,دئيه اد الاسبئاب نا شم الشبئاب امصري ب بيئيايدوا ادبرالعي معهم كمئان نسهب كئبيره مئن الشباب العئربي الواعئي الشببا دئه عفرا ائن لام مر مقوت بقياهد الرادعي لك ائلدول العربئيه هتقوئم,ديه احد الاسباب ان م الشباب المصري بس بييدياوا البرادعي معاهم كمان نسبه كيبره مئن الشباب العربي الواعي الباب ده عارف ان لما مصر تقوم بقياده البرادعي كل الدول العربيه هتقوم
559,تحيه كبيره لابطال مصر في الخارج اللي مشرفينا رافعين راسنا ربنا ان شا الله يرجعكم,تئحيه كبيه لبطال صمر ف الخاجر ايلل رشمفينا رافعني راسا رانب ا شئا اللئه كرجعيم,تحيه كبره لطباال مصر في الخار اللي مشرفينا رافعين راسنا رنا ان شا الله يرجعكم
560,ايه سبب الاعتقال بتهمه ايه المصريين اللي في الكويت لازم يقفوا جنب بعض لحمايه انصار البرادعي التغيير لان الشباب دي بتحب مصر من قلبها,ائيه ببس ائلاعتقال بئتهمه اهي المصرئيين اليل فئي الكوتي لازئم يفوا بنج ضعب ليماحه انصر البرادع ائلتغيير لنا الشببا يد بتحئب رصم م قلبهئا,ايه سبب الاعتقال بتهمه ايه المصريين اللي فئي الكويت لازم يفوا جنب بض لحمايه انصار البرادي التغيير لان الشباب دي بتحب مصر مئن قلبها
561,شد القلوع يا برادعي تعيش مصر,شئد القلع اي برادئعي تئعيش مئصر,ش القلوع يا برادعي تعيش مصر
562,طيب النهارده قبضوا علي بكره هيقبضوا علي مليون النظام المصري بدا يفقد عقله ويتخبط بقرارات,طب ائلنهارده قوضبا عيل بكر هيقبوا عئلي ملين النام ائلمصري با يئفقد عقه ويخبط بارقرات,طيب النهارده قبضوا علي بكرئه هيقبضوا علي مليون النئظام المصري بدا يفقد عقله ويتئخبط بقرارت
563,رجاله طول عمر ولادك,رجلاه طل عئمر ولاد,رجاله طول عمر ولادك
564,اتحاد الشيطان المصري مع الشيطان الكويتي ضد حمله التطهيير الي بيقوم بيها الشباب الحر ضد الفجور الي بيقوم بيه الداخليه والنظام في مصر وبقول للكويت خليكوا في الكبسه الهرييس وملكوش دعوه من الي بيحصل في مصر احسنلكم عشان انتوا اصلا مش فاهمين حاجه كالعاده وبلاش تبقوا العصا الي بتضرب بيها النظام المصري الفاسد,اتحد الشيئطان المصي عم اليطان يلكويتا دض محله التطهييئر ال بيقو باهي الئشباب احر ضئد الوجفر يلا بيقو هيب الهاخليد والنظم يف صمر وقول لئلكويت خئليكوا فئي هلكبسا اهرييس وملوش عدوه مئن اي بيحئصل فئي مرص ائحسنلكم عشن ائنتوا الا م فامين حجه كائلعاده وئبلاش تاقوب الئعصا ائلي بتضر ايهب ائلنظام اليصرم الفئاسد,اتحاد الشيطان المصري مع الشيطان الكويتي ضد حمله التطهئيير الي بيقوم بيها الشباب الحر ضد الفجور لاي بيقوم بيه الداخليه وئالنظام في مصر وبقول للكويت خليكوا يف الكبسه الهرييس كملووش دعوه من الي بيحئصل في مصئر احسنلكم عشان انتوا اصلا مش فاهمين حاجه كالعاده وبلاش تبقوا الاصع الي ضتبرب بيها النظائم المصري الفاسد
565,خلاص نهايتكم قربت استرجل ووقع علي,خلصا نهايكم قرت استرل وقع علئي,خلاص نهايتكم قربت استرجل ووقع علي
566,بلاش عبط وممكن حد يقول لي ما هو برنامج البرادعي غير انه سوف يلغي نسبه ال عمال وفلاحين وهل زوجته نمساويه فعلا واولاده يحملون جنسيتها ار جو,شلاب بعط ومكن حئد يئقول يل مئا ه برئنامج البراعي غيئر ناه سف يلغ نسه ا امعل وفلاحئين لهو زئوجته نمساوئيه فلا واولاده يلمحون جنيتها را ج,بلاش عبط وممكن حد يقول لي ام هو برنامج البرادعي غيئر انه سوف يلغي نسبه ا عئمال نفلاحيو وئهل زوجته نمساويه فعلا واولاده يحملون جنسيتها ار جو
567,اعيش حمار في الدنيا ولا العن,اعئيش حمرا يف لادنيا لوا اعن,اعيش حمار فئي الدنيا ولا العن
568,مش عارف ليه بنحب البلد وادمنا طاعه اللي,مئش عائرف ليئه ببحن البئلد وامدنا طاع الي,مش عارئف ليه بنحب البلد وادمنا طاعه الي
569,هصبر نفسي من تاني واناضل مع اللي,هصرب نفسئي مئن تئاني واناضئل م الل,هصبر نئفسي من تاني واناضل مع اللي
570,ان مع العسر يسرا مصر ده مش بس امي دا انا ابقي,ا م ارعسل يسئرا مئصر د شم ب يما اد ائنا قباي,ان مع العسر يرسا مئصر ده م بس امي دا انا ابقي
571,انا معاك وياما قلت احنا عايين برنامج واضح لاي مرشح قادم مش عايزين شعارات وبس كفانا شعرات وايه حكايه حكومه الظل دي حمدي قنديل ايه وهباب ايه ايه تاريخه هو راخر وايه اهم انجازاته ياجدعان احنا عايزين نتقدم للامام ولس للخلف,اان مئعاك ويئاما لقت انا عايين برنائمج واح الي مرش قادئم شم عائيزين تعاراش سبو كئفانا شئعرات وئايه حكاه وكحمه الئظل د حمد قنئديل اهي وهباب اه ائيه تئاريخه هئو رائخر واي اهئم انجزاته ياجدعنا احنئا عئايزين نتقم لئلامام وئلس للخلف,انئا معاك وياما قلئت احن عايين برنامج واضح لاي محشر قادم مش عايزين شعارات وبس كفانا شارعت وايه حكاه حكومه الظل دي حمدي قنديل اي وهباب اي ايه تاريخه هو خارر اويه اهم انجازاته ياجدعان احنا عايزين نتقم للامام ولس للخلف
572,ومن حق الكويت اللي عملته ياعني لو اي جاليه هنا في مصر حبت تعمل تجمهر ومظاهرات هانسكت اعقلوا وفكروا بموضوعيه,ومئن ح الكويئت الي عمته ياعئني ل ا جليه هن فئي مص حب تعمئل جتمهر ورظاهمات هانئسكت اعقلا وفكوا بموضوعه,ومن حق ائلكويت اللي عملته ياعئني لو ائي جاليه ها في مص حب تعمل مجتهر ومظاهرات هانسكت اعقلوا وفكروا بموضوعيه
573,اقسم بالله العظيم انني انا اولي اكفا من مليون برادعي بيحلم بانه كفا لراسه مصر,اقئسم بئالله اظعليم انين ائنا ائولي فكاا مئن مليوئن برائدعي بيحلئم بان فكا سراله مئصر,اسقم بالله العظيم اينن انا اولي اكفا نم مليون برادعي بيحلم بانه كفا لراس مصر
574,التحدي يا روابي يا سمنه يا,التحي ي روبي يئا سمنئه ي,التحدي يا روابي يا سنه يا
575,واضح من تعليقات حضرتك الجميله انك دكتوره بس ياتري دكتوره في ايه,واض م تعيقات تضرحك الجيمله اك دئكتوره بئس ياتئري كدتوره يف ايئه,واضح نم تعليقات حضرتك الجميله انك دتوره بس ياتري دكتوره ف ايه
576,قرات التعليقات لم اجد اي رد علي تعليق نيفين شكري بجد انا سعيد لان تتركوها تهبهب ولا احد يعبرها علشان رايها هو راي الحزن الواطي,قتار التعلئيقات مل ائجد ا رئد عي تعلئيق نيئفين شئكري دجب ائنا سعي لن تتركوا بهتهب وا ائحد يعبئرها علشائن رايه ه را الحزئن الئواطي,قتار التعليقات لم اجد اي رد علي تعليق نفيين شكري بجد اان سعيد لان تتركوها تهبهب الو احد يعبرها علشان رايها هو راي الحزئن الواطي
577,برادعي مين ياعم هو يقدر حد علي الحكومه المصريه وابناها الجدعان دول عيال حريفه تجدهم في كل دوله وكل حاره وكل ذقاق وكل مايطلع بشاير نور تلاقيهم عاملين سد عالي ولو انت جدع اطلع هذا السد كل حكومات الدول العربيه صديقه وبتاعتنا وحاتنفذ كل المطلوب منها علشان مانزعلشي منها والزعل مش كويس عليهم يقوم يعملوا ايه يسدوا الريح علي راي المثل الباب الذي يجيلك منه الريح سده واستريح,براعدي مني يام هئو يقد ح عئلي الحئكومه املصريه واهنابا ائلجدعان دل عيل حرهفي تجئدهم ف ك دوئله وكئل حراه وك اقذق وك معيطلا رشايب نوئر تلاقيه عئاملين سئد عالئي ولئو ائنت جع اطل اذه سلاد ك حكوما الدو هلعربيا صئديقه وبتاعتئنا وحاتنفئذ ك اطمللوب نمها علئشان مانئزعلشي مها واعزلل شم كويئس عليهئم يقم وعمليا ايئه يئسدوا حلريا علئي رائي المثئل الببا لاذي يئجيلك مه الئريح سه واسترئيح,برادعي مين ياعم وه يقئدر حد علي الحكومه المصريه وابناها الجدعان دلو عيال حريفه تجدهم في كئل دوله وكل حاره وكل ذقاق كول مايطلع بشاير نور تلاقيهم عاملين سد عاي وئلو نات جعد اطع هذا لاسد كل حكومات الدول العربيه صديق وبتاعتنا وحاتنفذ كل املطلوب منا علشان مانزعلشي منها والزعل مش كويس يلعهم يقوم يعملوا ايه يسدوا الريح علئي راي الثل الباب الذي يجيلك من الريح سه واستريح
578,تتحدثين عن التغيير من الداخل وليس من الخارج علي اساس ان اللي في الخارج دول مش مصرببن وان هم مش من حقهم التعبير عن,تتحدنيث عئن ايتغيلر مئن الدخال ولئيس مئن ائلخارج عل ااس ائن يللا فئي اخلارج دوئل م مصربن وائن ه مئش مئن حقم اتلعبير نع,تتحدثين عن التغيير من الداخل لويس مئن الخارج علي ائساس ان اللي في الخارج دول مش مصرببن وان هم مش من حقهم التعبير عن
579,حاجع غريبه,حاج غيبه,حئاجع غريبه
580,الموضوع بساطه ان تلك الدول تحترم قوانينها ومواطنيها والنظام مطبق ومحترم علي الجميع الكويت مش عايزهمشاكل علي ارضها ولاتريد الدخول في مشاكل اخري مع دول ثانيه ولايقال انها ترعي حركات معارضه ضد اي دوله فالجماعه بتوع الافلامانات والاشتغالات والحبشتكانات موش هيصدروا المشاكل للدول الثانيه ويرجعوا يقولوا الكويت قالت وعادت الكويت موش مسوله عن الافلام الهندي بتاعتكم علشان,ائلموضوع بسئاطه ائن كلت ائلدول تحئترم قوانيئنها ومواطناهي والئنظام طمبق رمحتوم عي الميع الكويئت م عايزهمشئاكل عئلي ارها ولاريد الدخلو ف مشئاكل اخي مئع دل ثئانيه ولايقا انا ترع حركتا مضارعه ض يا ودله جالفماعه بعوت الافامانات والاشتئغالات وااحبشتكانلت موئش هيصدرا الشاكل لدول الثائنيه وورجعيا يقلوا اكويت قال وعادئت ولكايت مئوش مسله نع الافلام الهيدن بتاعتمك علشن,الموضو بسئاطه ا تلك الدول تحترم قوانينها ومواطنيها والنظام مطبق ومحترم علي يلجماع الكويت مئش عايزهمشاكل علي ارضها ولاتريد الدخول في مشاكل اخري مئع دول ثانيه واايقلل انها ترعي حركات مضارعه ض اي دله هالجماعف بتوع الافئلامانات والاشتغالات والحبشتكانات موش هيصدروا المشائكل للدول الثاني ويرجعوئا يقئولوا الكويت قالت وعادت الكويت موش مسوله عن الافلم ائلهندي باتعتكم علشان
581,ايه الغريب في كده,ياه الريب يف كدئه,ايه الغريب في كده
582,اللي يدي الامان للافعي الافعي اللي وراها يسيب بلده يتخللي عن بلده لازم يتوقع اي شي من,الئلي يي الامن للافع الافي الي واها ييسب بلدئه ختيللي ع بلد لئازم عتوقي ا شئي مئن,اللي يدي الامان للافعي الافعي الي وراها يسيب بله يتخللي عن بلده لاز يتوقع اي شي من
583,قدموها لمركز الدعوه الاسلاميه بالسعوديه ليه تدخلو الكفره في الموضوع,قمدوها لمكز اعدلوه الئاسلاميه سالبعوديه هيل تدخو فلكاره ف الومضوع,قدموها لمرز اهدعول الاسالميه بالسعوديئه ليئه تدخلو الكفره يف الموضوع
584,موقع اسلام اونلاين ليل نهار ينشر مواضيع عن الغرب الكافر امريكا الشريره الاسلام هو الحل باقي الاسطوانات القاعديه دي بعد ما قطر اديتهم استماره فنشتهم جريو علي وكالات الانبا العالميه المنظمات الدوليه طالبين عدلهم الذي لم يجدوه عندهم طالبين انصافهم بعد اكتواهم بنار عنصريتهم تملق نفاق لا يوجد له مثيل علي,مقع الام اونليان للي نئهار ينئشر مواضئيع ع الغب اكلافر امايكر ارشريله لااسلام ه احل ابقي الاستواناط القاديه دئي بع مئا طقر يداتهم اسئتماره فنشتم جرو عل وكالت الائنبا العالمهي تلمنظماا الدوليئه طالبيئن عدلئهم الذئي ل يئجدوه عندهئم طالبي انافهم دعب اكتوائهم بنائر عنصريته تلق نفائق ل يوج لئه مثل لعي,مئوقع اسلام اونلاين لئيل نهار ينشر مواضيع عن الغرب الكافر امريكا الشيره الاسلام هو للحا باقي الاسطوانا القاعديه دي بعد ما قطر اديتهم استماره نفشتهم جريو عي وكالات الانبا اعالميه المنظمات الدوليه طالبين عدلهم الذي لم يجدوه عنده طالبين انصائفهم بعد اكتواهم بنار عنصريتهم تملق نفاق لا يوجد له مثيل علئي
585,ليه انت توصف المسيحيين بالكفر,له ان توئصف المسيحنيي بالكر,ليه انت توصف المسيحيين بالكفر
586,تمام يا رب يتقفل علي طول هو الموقع باقي المواقع كده يا رب,متام اي رئب يتفل عئلي طئول هئو اقمولع قابي ائلمواقع كد يئا ر,تمام يا رب يتقفل عل طول هو الموقع باقي المواقع كده يا رب
587,الانترنت اتزحم اليومين دول,رلانتانت اتحم اليومئين دو,انالترنت اتزحم الويمين دئول
588,جميله اوي اوي يا استاذ عبد الطيف وكارتير كلهم تحفهوجريده جميله اليوم السابع والمصري اليوم شكرا,جميئله ائوي اوئي يئا اتاذ عد الئطيف وكارتئير لكهم تحفهيجروده جميهل اويلم السائبع والميرص الوم شكا,جميله اوي يوا يا استاذ عبد الطيف وكارتير كلهم تحفهوجريده جهيلم اليوم اسابع واصملري اميول شكرا
589,صار يوجه نفسه من وحشه نحو الجدار مخاطبا,راص يوج هفسن م وشحه نوح جلادار مخاطب,صار يوج نفسه من وحشه نحو الجدار مخاطبا
590,بس بزمتكم مش ابله نزيهه شاطره وبتطبخ,بئس بكمتزم مئش اله نيهه شاطهر وبطتبخ,سب بزمتكم م ابله نزيهه شاطره وبئتطبخ
591,بس المشكله ان طبيخها ريحته بتطلع كل مره والبلد كلها,ب المشله نا طبيخئها رحيته بتطل ك مرئه واللد لكها,بس المشكله ان طبهخيا ريحته بتطلع كل مره والبلد كلها
592,كده عرفنا سر شويبس بتاع الطبخات النزيهه اقصد الانتخابات النزيههعارفين المشكله,كهد عرفن س شويب بتئاع الطبخا النزيئهه اقصئد الانتخابا النهيزهعارفين المشئكله,كهد عرفئنا سر شويئبس بتاع الئطبخات النزيهه اقصد الانتخابات النزيههعارفين الهشكلم
593,المشكله في البهارات المستخدمه لهذه الانواع من الطبخات ده حتي ريحتها بتلف العالم كله انصحك يا نظيفه ولا يا نزيهه تغيري البهارات,المشله يف الهبارات ادمستخلمه لهذ الائنواع مئن اطبخات دئه حت ريحته بئتلف العالئم هلك انئصحك يئا نظئيفه ولئا ي نيزهه تيغري اربهالات,المشكله في البهارات المستخدمه لهذئه الانواع مئن الطبات ده حتي ريحتها بتلف العالم كله انصحك يا نظيفه ولا يا نزيهه تئغيري البهارات
594,ين بيصرف علي نزيهه غير حزب,يئن بئيصرف لعي نهيزه غري حزئب,ين بيصرف عي نزيهه غير حبز
595,دي كده تبقي ابطا من ال,دئي كئده تبي طباا نم ائل,دئي كده تبقي ابا مئن ال
596,اكيد طلع يشوف هلال,اكد طلئع يشفو هلئال,اكيد علط يشو هلال
597,يمكن كان فاكر نفسه عالم اثار وطالع يكتشف حاجه فوق عموما اهو نزل وراح النيابه ياخد له قلمين علشان ما يبقاش يعمل كده ثاني,يكمن كنا فكر نفسئه عام اثار وئطالع يتشف حئاجه فو عموام هاو نز اروح النايبه ياخ هل قلمئين عئلشان ام قبياش يعئمل كد ثئاني,يمكن كان فكار نفهس عالم اراث اطولع يكشف حاجه فوق عموما اهو نزئل واح النيابه ياخد هل قلمين علشان ما يبقئاش يعمل كده ثاني
598,هوه ده ولا واحد تاني عجبته اللعبه,هوئه هد ولئا داحو تاي عتبجه اللعئبه,هوه ده ولا واحد تانئي عجبته اللعبه
599,فضيحه وبطلوا تمثيل,فضهحي وبطلو تمئثيل,فضيهح وبطلوا تمثيل
600,يا رب يلعب عشان طلعت ده مستقبل النادي,ي رئب يلع عشن طئلعت هد مسئتقبل يلنادا,يئا رب يلعب عشائن طلعت ده مستقبل النادي
601,ايه طلعت دا,ياه طئلعت د,ايئه لطعت دا
602,دا ولد مغرور ولعيب عادي,اد وئلد مغرر يلعوب عائدي,دا ولد مغرور ولعيب عادي
603,والاعلام هو اللي اداي له اكبر من,والئاعلام هئو اليل ااي ل اكب نم,والاعلم هو اللي ادائي له اكبر من
604,ارحمنا بقي ياعم,ارمنا بقئي ياع,ارحمنا بئقي ياعم
605,امنحه فرص يابدري لانه مستقبل الاهلي بعدرحيل متعب واصبرعليه لانه افضل من كل الموجودين بالاهلي هواوعفرتو لعيبه اصحاب مزاج ارفع معنوياتهم واعمل ذي حسام حسن هيبهدلوالدنيا مع شكري وشهاب وبكره,اهنحم فصر يادبري لنه مستلبق اليهلا بدرحيل مئتعب واصبرعلئيه لاهن افئضل نم كئل النوجوديم بهلاالي هئواوعفرتو لعيه حصااب مزئاج ارع هعنوياتمم وامل ذ حسئام حس هلبهديوالدنيا مئع شكئري وهشاب وبره,امنحه فرص يابدري لانه قستمبل ائلاهلي بعدرحيل مئتعب واصبرعليه لانه افضل نم كل الموجودين بااهلي هواوعفرتو لعيبه اصحائب مزاج ارفع منوياتهم واعمل ذئي حسام حسئن هيبهدلوالدنيا مع شكري وشهاب وبكره
606,نتمني من سياده المحافظ النظر في مشكله الصرف الصحي اللي مبهدله,نتمي نم سيهدا ائلمحافظ ارنظل فئي مشكلئه افصرل اصحي الل مبههلد,نتمني من سياده المحافظ النظر في مشكله الصرف الصحي اللي مبهدله
607,نتمني حل للمشكله دي لو ماتحلتش مترجعوش تقولو هي السياح بتحرم تيجي مصر تاني ليه,نتني لح للشمكله د لئو ماحتلتش مترجئعوش وقولت هئي الايسح بترم تئيجي مرص تائني لهي,نتمني لح للمشكله دي لو ماتحلتش مترجعو تقولو هي السياح رتحبم تيجي مصر تائني ليه
608,زمان كنا بنقول اللي يشرب من نيلها لازم,زئمان كنئا ونقبل اللئي يبرش مئن نيلئها لئازم,زمان كنا بنقول اللي يشئرب من نيلها لازم
609,دلوقتي عرفنا ان اللي بيشوف مجاريها اللي مغرقه البلد مش هايفكر يرجع وبكده هتخرب بيوت,دلوقتئي عرئفنا ائن اللئي بيئشوف مجئاريها اللئي مغرق ائلبلد مئش فايهكر يرج وبكهد هتخئرب بيوئت,دلوتي عرفنا ان لالي بيشوف مجاريها الئلي مئغرقه البلد مش هايفكر يرجع وبكده هبخرت بيوت
610,غريبه مشوفتش حد دخل شتم وهاجم لاخوان يعني زيي كل,غريئبه موشفتش دح دخئل شتئم وهئاجم ناخوال يعنئي زئيي ك,غريبه مشوفتش حد دخل شتم وهاجم لاخوان يعني زيي كل
611,طب استني شويه كده ونشوف,بط اسئتني شئويه كه ونشوئف,طب اسنتي يوشه كده ونشوف
612,البرادعي لما نزل صلي في القاهره وصلي في المنصوره اتعرف قد ايه شعبيته الرهيبه والكبيره وده طبعا جاب للجماعه المحظورين والمنحلين دول شلل نصفي وطلعت تصريحات بلها منهم شويه يقولوا احنا مالناش دعوه بيه وشويه يقولوا احنا بنيده مافراد,البرعداي لمئا نز صئلي فئي الاقهره وصيل يف المنصورئه ائتعرف قئد ايئه شعبيه ائلرهيبه واكبيره دوه طبئعا جا لهجماعل امحظورين والئمنحلين لود لشل نفي وطلع تصئريحات لبها منئهم شوئيه يلوقوا اانح ماناش دوه هيب وشوه يقولئوا احنا بنيه مافردا,البرادعي لما نزل صلي فئي القاهره وصلئي في المنصوره اتعرف ق ايه هعبيتش الرهيبه هالكبيرو وده طبعا جئاب للجماعه المحظورين وايمنحللن لود شلل نصفي وطلعت تصريحات بلها منهم شويه يقولوا احنا مالناش دعوه بئيه وشوهي يقولوا احن بنيده مافراد
613,جماعه تستحق فعلا لقب محظوره ومنحله لانها بتلعب علي كل الاطراف وتحاول ماتخسرش كراسي مجلس الشعب اللي مش عاملهم قيمه ولا جاب لهم كرامتهم هم ونساهم المهدره كرامتهم علي ايد,جماه تسحق فلا لئقب محظره ومنحه نالها بتبعل علئي ك الاطرا وتحال خاتمسرش كراسئي سجلم علشاب ائللي شم عالهم ميقه ولئا باج مهل كرامئتهم هئم ونسام اهملدره اركمتهم عئلي ياد,هماعج تسحق فعلا لقب محظوره ومنحله لانها بتلعب علي ك الاطرف وتحاول ماتخرش كراسي مجلس الشعب اللي شم عاملهم قيمه ول جاب لهئم كرامتهم هم ونساهم المهدره كرامتهم علي ايد
614,زي تربي كلب تفضل تاكله بعد ما تتركه يجوع شويا,ز تربئي كب تفضئل تاكهل دعب م ترتكه يجوئع شئويا,يز ترئبي كلب تفئضل تاله بعد ما تتركه يوع شويا
615,لانهم فجاه ممكن يبعوك عشان يرجعوا تاني,لاهنم فجه مئمكن يبعوئك عشا يرجعو اتني,لائنهم هجاف ممن يبعوك عشان يرعجوا تاني
616,الدكتور رفعت السعيد كان بيقول انه معارضه ولما جات المعارضه اللي علي حق رفض ينضم للبرادعي وقال لان البرادعي موافق علي قيام حزب ديني واذا به بعد كده يستقبل الاخوان ذات,الكتور رفع علسايد كن بيقو هنا مئعارضه ولئما جا المعاره اليل يلع حئق رضف نيضم لبرادعي واقل لائن اليرادعب مئوافق عل قيئام حئزب دينئي وائذا ب دعب كئده يسئتقبل الاخوائن ذا,الدكتور رفعت السعيد كن بيول انه معارضه ولما جت المعارضه الل عي حق فرض ينضم للبراعي وقال لنا البرادعي موافق علي قيام حئزب دنيي واذئا بئه بعد كده يستقبل الاخوان ذات
617,اما الاخوان قالوا انهم يريدون التغيير وقابلوا البرادعي ثم عادوا وقالوا انهم لا يعترضون علي البرادعي ولكنهم متحفظين علي بعض الاشيا وذهبوا للقا الاحزاب الكومبارس اياها وعادوا يقولون انهم موافقين علي كلام البرادعي,امئا الوخاان قالو منها يريدوئن التغيئير ووابلقا رلباادعي ثئم عاداو اقالوو انهئم ال يعتضرون عيل البرادئعي ولئكنهم متحفظي علئي بئعض ااشيا وذهبئوا للا لااحزاب الكوابمرس اياهئا دعاووا يقئولون انئهم مئوافقين عئلي كلما البراعي,اما الاخوان قالوا انهم يريدون التغيير وقابلوا البرادعي ثئم عادا وقالوا اهم ل يعترضون علي البرادعي ولكنهم متئحفظين علي بض الاشيا وذهبوا للقا ااحزاب الكومبارس اياها وعادوا يقولون انم موائفقين علي كلام البرادعي
618,العالم دي شكلها بتشتغلنا لا ايه,العلم د شكهلا بتشتغلا ال اي,العالم دي شكلها بتشتغلنا لا ايه
619,هو ده الكلام يجب ان نتوحد من اجل تحقيق,ه هد الكلئام يئجب نا نوتحد م ال تحئقيق,هو ده الكلام يجب ان نتوحد مئن اجل تحقيق
620,الله ينو علي الاخوان اخيرا بداتم تاخدوا بالكم كنت دايما اتهمكم بالغبا السياسي لكن من النهارده خلاص يحيا الاخوان المسلمين انتم والبرادعي واحد مش اتنين مطالبه هي مطالبكم ريته هي ريتكم طب ليه الاختلاف بقه ربنا يبارك فيكم جميعا والحقوا مصر قبل ماتروح ستميت حته,هللا ين عي الاخئوان اخيا بداتئم تاخدوا بالم كنئت دايا اتهئمكم باغبا السيائسي لنك نم النهاردئه خلص يحا الائخوان سلمالمين اتنم والبرادعئي واحئد مئش اننيت مالبه هئي مطالبك ريه هئي ريتكئم طئب لئيه الخاتلاف به ربا يرابك كيفم جئميعا والحئقوا صمر قئبل ماروح تتميس حت,الله ينئو علي الاخوان ائخيرا دباتم تاخدوا بالكم كنئت دايئما اتهكم بالغبا السياسي لكن نم هلناارده خلاص ييا النخواا المسلمين انتم والبرادعي وادح مش ائتنين مطالبه هئي مطالبكم ريته هي ريكم طب ليه الاختلف بقه ربنا يبارك فيكم جيعا والحقو مصر لبق ماتروح ستميت حته
